VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
5.000000e-01 -7.904329e+00 9.989727e-01 1.001027e+00 9.991328e-01 9.985622e-01 1.195571e+00 2 0 6.734055e-04 -7.782652e-04 -7.879310e-04 2.723371e-04 -9.665822e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
6.767767e-01 -4.873285e+00 9.999997e-01 1.000002e+00 1.000002e+00 9.999997e-01 1.195231e+00 2 0 6.269949e-06 -3.876582e-06 -6.919322e-06 8.323133e-06 -3.042739e-06
5.956708e-01 -4.387260e+00 1.000001e+00 1.000000e+00 1.000005e+00 1.000001e+00 1.195231e+00 2 0 2.355331e-06 -3.878766e-06 2.115422e-07 5.452143e-06 4.090308e-06
1.767767e-01 -4.965401e+00 1.000003e+00 9.999993e-01 1.000005e+00 1.000005e+00 1.195230e+00 2 0 5.661354e-06 -1.255287e-06 -5.452588e-06 1.453353e-06 -4.197301e-06
9.567084e-02 -4.481233e+00 1.000002e+00 9.999993e-01 1.000004e+00 1.000003e+00 1.195230e+00 2 0 1.359960e-06 1.558754e-06 2.443667e-06 -2.682929e-06 8.849130e-07
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
5.956708e-01 -4.387260e+00 1.000001e+00 9.999997e-01 1.000005e+00 1.000001e+00 1.195231e+00 2 0 -7.512364e-07 6.355854e-06 8.233112e-07 5.943936e-06 -5.532543e-06
5.000000e-01 -3.904329e+00 9.999946e-01 1.000003e+00 1.000008e+00 9.999924e-01 1.195237e+00 2 0 4.169294e-06 7.131559e-06 1.043473e-05 9.037753e-06 3.303175e-06
9.567084e-02 -4.481233e+00 1.000002e+00 9.999993e-01 1.000004e+00 1.000003e+00 1.195230e+00 2 0 5.766882e-08 4.809088e-06 3.171724e-06 -3.371605e-06 -1.637364e-06
-1.339745e-08 -4.000000e+00 9.999989e-01 1.000001e+00 1.000002e+00 9.999985e-01 1.195231e+00 2 0 3.201477e-06 1.730972e-06 9.657579e-06 -1.490419e-06 7.926608e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
5.000000e-01 -3.904329e+00 9.999939e-01 1.000003e+00 1.000008e+00 9.999915e-01 1.195237e+00 2 0 4.537654e-06 8.358318e-06 9.282600e-06 2.161822e-05 9.242826e-07
4.043291e-01 -3.421938e+00 9.999849e-01 1.000008e+00 1.000016e+00 9.999788e-01 1.195247e+00 2 0 9.592522e-07 1.752220e-05 1.502711e-05 1.633527e-05 -2.495094e-06
-1.339745e-08 -4.000000e+00 9.999988e-01 1.000000e+00 1.000002e+00 9.999984e-01 1.195231e+00 2 0 1.147685e-06 1.017274e-05 7.702975e-06 1.261358e-05 -2.469769e-06
-9.567087e-02 -3.518767e+00 9.999913e-01 1.000006e+00 1.000009e+00 9.999878e-01 1.195240e+00 2 0 3.235616e-06 1.354783e-05 1.210976e-05 1.853791e-05 -1.438077e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
4.043291e-01 -3.421938e+00 9.999850e-01 1.000010e+00 1.000016e+00 9.999790e-01 1.195247e+00 2 0 5.982380e-06 6.479790e-07 1.649092e-05 -8.382953e-06 1.584295e-05
3.232233e-01 -2.937215e+00 9.999908e-01 1.000007e+00 1.000010e+00 9.999871e-01 1.195241e+00 2 0 -1.822886e-06 -5.904922e-06 -2.169029e-06 -1.844896e-05 3.735893e-06
-9.567087e-02 -3.518767e+00 9.999904e-01 1.000006e+00 1.000009e+00 9.999865e-01 1.195240e+00 2 0 8.213175e-06 5.236820e-06 9.763441e-06 1.941834e-05 4.526621e-06
-1.767767e-01 -3.034599e+00 9.999858e-01 1.000010e+00 1.000014e+00 9.999802e-01 1.195246e+00 2 0 -9.678708e-06 1.270953e-05 -8.870376e-06 -1.155770e-06 -2.157991e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.232233e-01 -2.937215e+00 9.999926e-01 1.000008e+00 1.000008e+00 9.999898e-01 1.195240e+00 2 0 -4.828934e-06 6.505033e-07 5.513419e-07 -2.682444e-05 -9.916142e-08
2.690301e-01 -2.447568e+00 9.999994e-01 1.000007e+00 1.000001e+00 9.999991e-01 1.195234e+00 2 0 -8.316849e-06 -6.288904e-06 5.311383e-06 2.769371e-07 1.160029e-05
-1.767767e-01 -3.034599e+00 9.999876e-01 1.000011e+00 1.000012e+00 9.999827e-01 1.195246e+00 2 0 -1.289114e-05 7.926747e-06 -2.343783e-06 -3.683346e-05 -1.027053e-05
-2.309699e-01 -2.545103e+00 9.999979e-01 1.000009e+00 9.999994e-01 9.999970e-01 1.195234e+00 2 0 4.375865e-06 -2.092309e-05 5.606036e-06 -1.746423e-05 2.652913e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.690301e-01 -2.447568e+00 9.999961e-01 1.000006e+00 1.000004e+00 9.999940e-01 1.195236e+00 2 0 -4.505699e-06 4.272369e-06 5.024615e-07 3.760211e-05 -3.769908e-06
2.500000e-01 -1.951227e+00 9.999922e-01 1.000006e+00 1.000015e+00 9.999896e-01 1.195243e+00 2 0 -1.943243e-05 -1.211018e-05 -7.154825e-05 5.607433e-06 -5.943808e-05
-2.309699e-01 -2.545103e+00 9.999976e-01 1.000006e+00 1.000000e+00 9.999967e-01 1.195233e+00 2 0 5.365348e-06 6.651016e-06 -5.437759e-07 3.736416e-05 -7.194792e-06
-2.500000e-01 -2.048773e+00 9.999809e-01 1.000023e+00 1.000019e+00 9.999730e-01 1.195258e+00 2 0 -5.711537e-05 6.457359e-05 2.804432e-05 4.741191e-05 -3.652926e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.500000e-01 -1.951227e+00 9.999970e-01 1.000003e+00 1.000013e+00 9.999970e-01 1.195238e+00 2 0 -6.993311e-05 1.062262e-04 -6.945264e-05 -8.037388e-05 -1.756788e-04
2.690301e-01 -1.447568e+00 1.000010e+00 1.000051e+00 9.999755e-01 1.000013e+00 1.195243e+00 2 0 2.171645e-04 5.037623e-05 -5.884680e-05 -6.685317e-05 -1.092230e-04
-2.500000e-01 -2.048773e+00 9.999765e-01 1.000029e+00 1.000022e+00 9.999664e-01 1.195265e+00 2 0 -4.975578e-05 -5.618710e-05 4.256530e-05 -5.543266e-05 9.875240e-05
-2.309699e-01 -1.545103e+00 1.000020e+00 9.999896e-01 9.999745e-01 1.000030e+00 1.195202e+00 2 0 7.295512e-05 -8.313166e-05 4.236818e-05 -1.619988e-04 1.254998e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
2.690301e-01 -1.447568e+00 1.000027e+00 1.000040e+00 9.999756e-01 1.000035e+00 1.195233e+00 2 0 2.019132e-04 5.103676e-05 2.878119e-05 -3.543705e-04 -2.225557e-05
3.232233e-01 -9.372147e-01 1.000062e+00 1.000187e+00 9.997674e-01 1.000087e+00 1.195186e+00 2 0 2.957668e-04 6.196371e-04 2.284168e-04 -5.449059e-04 -3.912203e-04
-2.309699e-01 -1.545103e+00 1.000040e+00 9.999924e-01 9.999590e-01 1.000059e+00 1.195189e+00 2 0 2.644646e-05 -5.171080e-05 1.170636e-04 -4.143465e-04 1.687744e-04
-1.767767e-01 -1.034599e+00 1.000154e+00 9.999596e-01 9.997887e-01 1.000213e+00 1.195043e+00 2 0 5.647600e-04 -1.380725e-04 -1.171516e-04 -2.754444e-04 2.092095e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
3.232233e-01 -9.372147e-01 1.000063e+00 1.000274e+00 9.997387e-01 1.000088e+00 1.195221e+00 2 0 7.502355e-04 -8.530074e-04 4.430656e-04 -1.897896e-03 1.296073e-03
4.043291e-01 -4.219378e-01 1.000806e+00 9.997815e-01 9.987750e-01 1.001136e+00 1.194169e+00 2 0 -9.878017e-05 -8.736727e-04 -1.254558e-03 -1.924665e-03 -3.808855e-04
-1.767767e-01 -1.034599e+00 1.000148e+00 9.999575e-01 9.997927e-01 1.000202e+00 1.195047e+00 2 0 8.364233e-04 -5.274483e-04 -1.775115e-04 -3.292185e-04 3.499367e-04
-9.567086e-02 -5.187673e-01 1.000318e+00 9.998659e-01 9.995738e-01 1.000447e+00 1.194817e+00 2 0 -2.243191e-04 2.817402e-04 -1.309536e-03 -3.295990e-04 -1.591277e-03
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
4.043291e-01 -4.219378e-01 1.000883e+00 9.998421e-01 9.986955e-01 1.001249e+00 1.194137e+00 2 0 -1.727083e-04 -1.095732e-03 -1.212930e-03 -2.959399e-03 -1.171982e-04
5.000000e-01 9.567086e-02 1.002001e+00 9.989523e-01 9.973180e-01 1.002788e+00 1.192532e+00 2 0 7.076982e-04 -2.681739e-03 -2.737484e-03 -1.576227e-03 -5.574543e-05
-9.567086e-02 -5.187673e-01 1.000321e+00 9.999742e-01 9.995471e-01 1.000452e+00 1.194864e+00 2 0 7.067106e-06 -1.366559e-03 -1.113430e-03 -1.666726e-03 2.531293e-04
0.000000e+00 0.000000e+00 1.001231e+00 9.990579e-01 9.985619e-01 1.001736e+00 1.193505e+00 2 0 -1.617986e-04 -1.913300e-03 -1.833241e-03 -1.770968e-03 8.005837e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.000000e+00 -7.823223e+00 9.988868e-01 1.001110e+00 9.989447e-01 9.984389e-01 1.195530e+00 2 0 2.076106e-04 -4.247046e-04 -3.215604e-04 -3.766831e-04 1.031443e-04
1.095671e+00 -7.310452e+00 9.989041e-01 1.000814e+00 9.988576e-01 9.984676e-01 1.195294e+00 2 0 4.410412e-04 -7.557398e-04 -8.925136e-04 3.406779e-05 -1.367738e-04
5.000000e-01 -7.904329e+00 9.989846e-01 1.001008e+00 9.991272e-01 9.985787e-01 1.195553e+00 2 0 2.845239e-04 -6.589355e-04 -4.084957e-04 2.198415e-04 2.504398e-04
5.956709e-01 -7.387260e+00 9.992633e-01 1.000627e+00 9.992914e-01 9.989708e-01 1.195355e+00 2 0 5.567753e-04 -9.395192e-04 -9.351991e-04 5.782064e-04 4.320098e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.095671e+00 -7.310452e+00 9.988737e-01 1.000814e+00 9.988249e-01 9.984254e-01 1.195281e+00 2 0 4.965030e-04 -9.589128e-04 -1.110957e-03 1.023724e-03 -1.520446e-04
1.176777e+00 -6.800459e+00 9.994109e-01 1.000339e+00 9.993498e-01 9.991783e-01 1.195182e+00 2 0 3.784439e-04 -1.093953e-03 -8.361485e-04 1.333995e-03 2.578041e-04
5.956709e-01 -7.387260e+00 9.992608e-01 1.000615e+00 9.992918e-01 9.989675e-01 1.195349e+00 2 0 5.723167e-04 -8.490516e-04 -1.040822e-03 8.546664e-04 -1.917705e-04
6.767767e-01 -6.873285e+00 9.996839e-01 1.000227e+00 9.996697e-01 9.995593e-01 1.195242e+00 2 0 3.796479e-04 -8.762544e-04 -7.580193e-04 9.471665e-04 1.182351e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.176777e+00 -6.800459e+00 9.994360e-01 1.000312e+00 9.993774e-01 9.992135e-01 1.195176e+00 2 0 3.054172e-04 -6.225641e-04 -7.832532e-04 1.031641e-03 -1.606891e-04
1.230970e+00 -6.294232e+00 9.998557e-01 1.000052e+00 9.998298e-01 9.997995e-01 1.195192e+00 2 0 1.183036e-04 -5.341700e-04 -3.129755e-04 9.829377e-04 2.211945e-04
6.767767e-01 -6.873285e+00 9.997053e-01 1.000205e+00 9.996937e-01 9.995894e-01 1.195238e+00 2 0 3.057851e-04 -4.377843e-04 -6.976218e-04 5.902286e-04 -2.598375e-04
7.309699e-01 -6.364230e+00 9.999323e-01 1.000034e+00 9.999209e-01 9.999059e-01 1.195218e+00 2 0 8.357070e-05 -3.348626e-04 -2.439102e-04 4.746299e-04 9.095239e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.230970e+00 -6.294232e+00 9.998808e-01 1.000037e+00 9.998578e-01 9.998345e-01 1.195193e+00 2 0 5.209624e-05 -1.471616e-04 -1.970176e-04 3.811610e-04 -4.985599e-05
1.250000e+00 -5.792133e+00 9.999960e-01 9.999938e-01 9.999939e-01 9.999946e-01 1.195222e+00 2 0 -1.067381e-05 -5.631088e-05 -1.414469e-05 2.336703e-04 4.216619e-05
7.309699e-01 -6.364230e+00 9.999441e-01 1.000026e+00 9.999335e-01 9.999224e-01 1.195217e+00 2 0 3.353921e-05 -8.157565e-05 -1.704471e-04 1.607133e-04 -8.887150e-05
7.500000e-01 -5.861107e+00 9.999884e-01 1.000003e+00 9.999861e-01 9.999838e-01 1.195225e+00 2 0 -1.897536e-05 -2.387214e-05 1.911418e-06 7.986782e-05 2.578356e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.250000e+00 -5.792133e+00 9.999999e-01 9.999935e-01 9.999984e-01 9.999999e-01 1.195224e+00 2 0 -2.367015e-05 1.829012e-05 2.326790e-05 2.127249e-05 4.977779e-06
1.230970e+00 -5.294232e+00 9.999956e-01 1.000005e+00 9.999976e-01 9.999939e-01 1.195231e+00 2 0 -8.206992e-06 2.931208e-05 1.059060e-05 -1.804426e-05 -1.872148e-05
7.500000e-01 -5.861107e+00 9.999886e-01 1.000004e+00 9.999862e-01 9.999840e-01 1.195226e+00 2 0 -2.452198e-05 5.652288e-06 1.892795e-05 1.505903e-05 1.327566e-05
7.309699e-01 -5.364230e+00 9.999918e-01 1.000007e+00 9.999929e-01 9.999886e-01 1.195230e+00 2 0 -3.580723e-06 5.469956e-06 6.619052e-06 1.258553e-05 1.149097e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.230970e+00 -5.294232e+00 9.999937e-01 1.000007e+00 9.999956e-01 9.999912e-01 1.195231e+00 2 0 -2.468581e-06 4.095413e-06 4.981085e-06 -5.165896e-06 8.856719e-07
1.176777e+00 -4.800459e+00 9.999945e-01 1.000005e+00 9.999973e-01 9.999924e-01 1.195231e+00 2 0 6.655308e-06 -6.593225e-06 -9.308669e-06 8.578769e-06 -2.715444e-06
7.309699e-01 -5.364230e+00 9.999915e-01 1.000007e+00 9.999927e-01 9.999881e-01 1.195230e+00 2 0 2.934310e-07 -6.073932e-06 3.052356e-06 1.472705e-05 9.126288e-06
6.767767e-01 -4.873285e+00 9.999990e-01 1.000003e+00 1.000001e+00 9.999986e-01 1.195231e+00 2 0 7.463593e-06 -1.139945e-05 -1.013650e-05 2.039830e-05 1.262947e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.176777e+00 -4.800459e+00 9.999949e-01 1.000005e+00 9.999978e-01 9.999929e-01 1.195231e+00 2 0 6.713710e-06 -5.355833e-06 -1.090120e-05 1.492798e-05 -5.545363e-06
1.095671e+00 -4.310452e+00 9.999975e-01 1.000002e+00 1.000006e+00 9.999965e-01 1.195234e+00 2 0 4.894495e-06 -7.624185e-06 -4.992051e-07 1.894262e-05 7.124980e-06
6.767767e-01 -4.873285e+00 9.999997e-01 1.000002e+00 1.000002e+00 9.999996e-01 1.195231e+00 2 0 6.541847e-06 -4.048273e-06 -9.084622e-06 7.871117e-06 -5.036349e-06
5.956708e-01 -4.387260e+00 1.000001e+00 1.000000e+00 1.000005e+00 1.000002e+00 1.195231e+00 2 0 3.836287e-06 -4.117407e-06 6.676769e-07 5.025860e-06 4.785083e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.095671e+00 -4.310452e+00 9.999976e-01 1.000001e+00 1.000007e+00 9.999967e-01 1.195234e+00 2 0 2.686836e-06 4.077446e-06 9.399466e-07 2.001827e-05 -3.137500e-06
1.000000e+00 -3.823223e+00 9.999895e-01 1.000005e+00 1.000015e+00 9.999853e-01 1.195243e+00 2 0 4.909679e-07 9.851635e-06 1.193622e-05 1.798395e-05 2.084585e-06
5.956708e-01 -4.387260e+00 1.000001e+00 9.999996e-01 1.000005e+00 1.000002e+00 1.195231e+00 2 0 1.292865e-06 7.075454e-06 1.734299e-06 6.021037e-06 -5.341155e-06
5.000000e-01 -3.904329e+00 9.999946e-01 1.000003e+00 1.000008e+00 9.999924e-01 1.195237e+00 2 0 1.711917e-06 7.400146e-06 1.161645e-05 9.885604e-06 4.216308e-06
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.000000e+00 -3.823223e+00 9.999890e-01 1.000005e+00 1.000015e+00 9.999845e-01 1.195243e+00 2 0 3.183937e-06 7.538553e-07 1.212858e-05 1.220016e-05 1.137472e-05
9.043291e-01 -3.336993e+00 9.999855e-01 1.000006e+00 1.000017e+00 9.999797e-01 1.195246e+00 2 0 -6.534292e-06 6.591752e-06 2.887097e-06 -3.594740e-06 -3.704655e-06
5.000000e-01 -3.904329e+00 9.999937e-01 1.000003e+00 1.000009e+00 9.999912e-01 1.195237e+00 2 0 3.065005e-06 8.396052e-06 9.158419e-06 2.339343e-05 7.623665e-07
4.043291e-01 -3.421938e+00 9.999843e-01 1.000009e+00 1.000017e+00 9.999780e-01 1.195248e+00 2 0 -7.592688e-06 1.557970e-05 -8.673311e-07 1.393421e-05 -1.644703e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
9.043291e-01 -3.336993e+00 9.999869e-01 1.000007e+00 1.000015e+00 9.999819e-01 1.195245e+00 2 0 -2.923289e-06 -9.883889e-06 6.523404e-06 -4.150855e-05 1.640729e-05
8.232233e-01 -2.849389e+00 1.000003e+00 9.999997e-01 9.999982e-01 1.000005e+00 1.195227e+00 2 0 -1.510167e-05 -2.148448e-05 -2.165763e-05 -3.650798e-05 -1.731519e-07
4.043291e-01 -3.421938e+00 9.999846e-01 1.000010e+00 1.000017e+00 9.999784e-01 1.195248e+00 2 0 -4.009960e-06 -1.356033e-06 4.053074e-07 -1.079855e-05 1.761340e-06
3.232233e-01 -2.937215e+00 9.999902e-01 1.000008e+00 1.000011e+00 9.999863e-01 1.195242e+00 2 0 -1.232097e-05 -7.231715e-06 -1.771472e-05 -2.036852e-05 -1.048301e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
8.232233e-01 -2.849389e+00 1.000004e+00 9.999997e-01 9.999977e-01 1.000005e+00 1.195226e+00 2 0 -2.232832e-05 2.263210e-05 -2.698522e-05 1.270243e-06 -4.961732e-05
7.690301e-01 -2.358016e+00 9.999986e-01 1.000000e+00 1.000008e+00 9.999983e-01 1.195233e+00 2 0 -1.151176e-06 -4.855843e-05 -4.243139e-05 4.416257e-05 6.127035e-06
3.232233e-01 -2.937215e+00 9.999918e-01 1.000008e+00 1.000009e+00 9.999887e-01 1.195241e+00 2 0 -1.438381e-05 -2.918327e-06 -1.302221e-05 -2.922165e-05 -1.010388e-05
2.690301e-01 -2.447568e+00 1.000000e+00 1.000006e+00 1.000002e+00 9.999998e-01 1.195233e+00 2 0 -1.444784e-05 -7.416062e-06 3.619307e-05 2.604184e-06 4.360913e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
